2010-01-19H22M45S46,38.408142,21.920801,6.713867
2010-01-19H22M51S60,38.427728,21.944174,7.263184
2010-01-19H23M04S24,38.445610,21.981615,8.422852
2010-01-19H23M19S56,38.429693,21.993465,4.516602
2010-01-20H00M13S18,38.430727,21.964322,7.263184
2010-01-20H00M19S36,38.401818,22.016199,9.704590
2010-01-20H00M41S40,38.402341,21.953894,6.286621
2010-01-20H01M14S36,38.417440,21.945045,7.690430
2010-01-20H01M17S00,38.288404,22.137036,9.338379
2010-01-20H01M17S58,38.418091,21.962143,5.065918
2010-01-20H01M39S20,38.424467,21.956196,7.995605
2010-01-20H01M49S26,38.429244,21.952237,7.751465
2010-01-20H02M57S20,38.421562,21.923988,7.629395
2010-01-20H03M06S48,38.441881,21.954414,7.751465
2010-01-20H03M42S30,37.569999,21.646046,6.103516
2010-01-20H04M21S20,38.437103,21.958373,7.751465
2010-01-20H04M24S36,38.433874,21.966374,6.652832
2010-01-20H04M36S29,38.406921,21.974056,7.629395
2010-01-20H04M52S52,38.403286,21.934810,11.962891
2010-01-20H04M53S41,38.427215,21.908979,9.887695
2010-01-20H04M59S13,38.402487,21.935805,18.615723
2010-01-20H05M02S42,38.417819,21.896798,7.202148
2010-01-20H05M48S00,38.413363,21.960070,4.211426
2010-01-20H06M35S14,38.448207,21.954497,6.774902
2010-01-20H06M43S22,38.405255,21.984084,21.179199
2010-01-20H06M46S58,38.410150,21.966058,8.483887
2010-01-20H06M48S40,38.386140,21.999902,11.047363
2010-01-20H07M10S20,38.398163,21.980973,8.911133
2010-01-20H07M23S18,38.416410,21.974183,8.483887
2010-01-20H07M32S36,38.408536,21.970057,9.582520
2010-01-20H07M37S40,38.424500,21.952175,6.286621
2010-01-20H07M54S32,38.425949,21.968279,6.164551
2010-01-20H08M10S41,38.420372,21.973231,9.399414
2010-01-20H08M16S39,38.439516,21.953377,8.911133
2010-01-20H08M29S43,38.441460,22.004687,15.563965
2010-01-20H08M37S56,38.283698,22.132949,1.892090
2010-01-20H08M38S39,38.430509,21.990460,6.896973
2010-01-20H08M49S31,38.413877,21.993248,11.596680
2010-01-20H08M56S48,38.240743,22.158355,0.061035
2010-01-20H09M11S40,38.432226,21.974396,6.774902
2010-01-20H09M38S25,38.483001,21.954956,0.061035
2010-01-20H09M43S20,38.407264,21.931846,5.920410
2010-01-20H10M52S90,38.375748,22.012820,9.643555
2010-01-20H10M54S13,38.484904,21.914734,1.647949
2010-01-20H11M01S60,38.410084,21.974099,5.065918
2010-01-20H12M04S49,38.430810,21.954268,3.967285
2010-01-20H13M09S19,38.409983,21.986159,6.286621
2010-01-20H13M25S27,37.571613,21.640097,5.004883
2010-01-20H14M20S20,38.291625,22.131065,8.117676
2010-01-20H14M27S21,38.433907,21.962353,4.943848
2010-01-20H16M00S16,38.427991,22.007517,7.568359
2010-01-20H16M06S44,38.405204,21.990114,4.577637
2010-01-20H16M11S50,38.415346,21.909835,5.920410
2010-01-20H18M18S50,38.397694,21.941773,13.610840
2010-01-20H18M53S43,38.381125,22.117387,18.432617
2010-01-20H20M31S27,38.423907,22.022540,7.873535
2010-01-20H20M55S30,38.391424,22.029116,9.155273
2010-01-20H21M10S25,38.406921,21.974056,7.263184
2010-01-20H21M15S31,38.400323,22.006128,7.629395
2010-02-25H22M28S26,38.433824,21.972406,8.605957
2010-01-20H22M43S16,38.287073,22.110926,8.972168
2010-01-20H23M15S37,38.443330,21.970523,9.338379
2010-01-20H23M25S46,38.448075,21.970586,10.803223
2010-01-21H00M29S51,38.283185,22.103843,8.422852
2010-01-21H00M49S57,38.424532,21.948154,7.141113
2010-01-21H01M04S33,38.431270,21.895959,8.361816
2010-01-21H01M11S18,38.298962,22.108097,6.958008
2010-01-21H01M32S44,38.435522,21.958352,9.338379
2010-01-21H01M33S59,38.444945,21.966522,9.948730
2010-01-21H01M54S22,38.282917,22.131934,6.958008
2010-01-21H02M24S52,38.280670,22.118855,9.948730
2010-01-21H04M17S11,38.410134,21.968068,5.187988
2010-01-21H04M29S35,38.420952,21.998371,7.995605
2010-01-21H04M39S59,38.289986,22.137061,10.070801
2010-01-21H04M57S35,38.407914,22.042417,13.122559
2010-01-21H05M12S50,38.417041,21.993291,5.004883
2010-01-21H05M41S28,38.419771,21.950102,5.676270
2010-01-21H06M00S23,38.277488,22.120813,3.356934
2010-01-21H07M52S32,38.420204,21.993335,6.713867
2010-01-21H08M43S10,38.437169,21.950330,7.995605
2010-01-21H10M11S47,38.287110,22.106913,9.826660
2010-01-21H11M15S50,38.404456,21.985079,7.446289
2010-01-21H11M31S15,38.287167,22.100893,7.873535
2010-01-21H11M41S34,38.290236,22.110974,7.141113
2010-01-21H11M46S37,38.290236,22.110974,7.019043
2010-01-21H12M52S15,38.395900,21.967878,8.117676
2010-01-21H13M04S60,38.392518,21.993961,10.559082
2010-01-21H13M10S14,38.402755,21.901637,6.774902
2010-01-21H13M54S28,38.402092,21.984042,6.652832
2010-01-21H13M57S53,38.417695,21.912881,6.958008
2010-01-21H14M07S29,38.394675,21.923645,2.868652
2010-01-21H14M18S18,38.386209,21.991865,3.601074
2010-01-21H14M53S29,38.430027,21.953253,3.540039
2010-01-21H16M10S27,38.399041,21.621196,18.798828
2010-01-21H16M26S36,38.406803,21.988126,7.263184
2010-01-21H16M56S33,38.295094,22.099006,8.972168
2010-01-21H17M30S53,38.287091,22.108920,10.559082
2010-01-21H17M58S44,38.420866,22.008423,6.530762
2010-01-21H18M11S45,38.420900,22.004402,8.361816
2010-01-21H19M03S50,38.421802,21.991346,6.591797
2010-01-21H19M22S41,38.397280,21.992016,11.047363
2010-01-21H19M40S90,38.280708,22.114843,7.751465
2010-01-21H19M44S70,38.285529,22.106889,7.141113
2010-01-21H19M54S48,38.291855,22.106985,7.141113
2010-01-21H20M59S41,38.281470,22.117864,7.568359
2010-01-21H21M17S20,38.410632,21.905756,7.751465
2010-01-21H21M20S70,38.408569,21.966037,7.385254
2010-01-21H22M21S26,38.447107,21.991692,9.521484
2010-01-21H22M48S80,38.398028,21.997051,12.573242
2010-01-21H23M13S12,38.283756,22.126930,4.455566
2010-01-21H23M32S40,38.419656,21.964174,6.774902
2010-01-22H00M10S00,38.418351,21.929978,7.263184
2010-01-22H00M53S39,38.413542,21.937958,12.268066
2010-01-22H00M57S10,38.411782,21.960049,8.972168
2010-01-22H00M59S54,38.419438,21.990308,10.192871
2010-01-22H01M20S15,38.441715,21.974524,11.413574
2010-01-22H01M27S15,38.423032,21.938081,9.338379
2010-01-22H01M51S31,38.438766,21.948340,10.803223
2010-01-22H01M53S10,38.419673,21.962164,8.117676
